n_pkt,dropped
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
